_TYPE_,yyq,race2,ageval3,agepop2020,deaths,death_per1m
7,20201,Hispanic,85 years and over,534768,83,155.20749185
7,20202,Hispanic,85 years and over,534768,3770,7049.7860755
7,20203,Hispanic,85 years and over,534768,3426,6406.5164707
7,20204,Hispanic,85 years and over,534768,3770,7049.7860755
7,20211,Hispanic,85 years and over,534768,5306,9922.0596595
7,20212,Hispanic,85 years and over,534768,762,1424.9169733
7,20213,Hispanic,85 years and over,534768,1597,2986.3417407
7,20214,Hispanic,85 years and over,534768,1346,2516.9793256
7,20221,Hispanic,85 years and over,534768,3640,6806.6900039
7,20222,Hispanic,85 years and over,534768,90,168.29728032
7,20201,Non-Hispanic American Indian or Alaska Native,85 years and over,32342,1,30.919547338
7,20202,Non-Hispanic American Indian or Alaska Native,85 years and over,32342,137,4235.9779853
7,20203,Non-Hispanic American Indian or Alaska Native,85 years and over,32342,110,3401.1502072
7,20204,Non-Hispanic American Indian or Alaska Native,85 years and over,32342,287,8873.910086
7,20211,Non-Hispanic American Indian or Alaska Native,85 years and over,32342,223,6895.0590563
7,20212,Non-Hispanic American Indian or Alaska Native,85 years and over,32342,32,989.42551481
7,20213,Non-Hispanic American Indian or Alaska Native,85 years and over,32342,75,2318.9660503
7,20214,Non-Hispanic American Indian or Alaska Native,85 years and over,32342,104,3215.6329231
7,20221,Non-Hispanic American Indian or Alaska Native,85 years and over,32342,138,4266.8975326
7,20222,Non-Hispanic American Indian or Alaska Native,85 years and over,32342,5,154.59773669
7,20201,Non-Hispanic Asian,85 years and over,324418,51,157.20459407
7,20202,Non-Hispanic Asian,85 years and over,324418,1748,5388.1104008
7,20203,Non-Hispanic Asian,85 years and over,324418,735,2265.5956205
7,20204,Non-Hispanic Asian,85 years and over,324418,1300,4007.1759274
7,20211,Non-Hispanic Asian,85 years and over,324418,2382,7342.3792761
7,20212,Non-Hispanic Asian,85 years and over,324418,217,668.89013557
7,20213,Non-Hispanic Asian,85 years and over,324418,330,1017.2061969
7,20214,Non-Hispanic Asian,85 years and over,324418,373,1149.7512468
7,20221,Non-Hispanic Asian,85 years and over,324418,1215,3745.1682706
7,20222,Non-Hispanic Asian,85 years and over,324418,35,107.88550574
