yyq,race2,death_per1m
20201, Black,39.62905116
20202, Black,783.5565857
20203, Black,422.3175121
20204, Black,456.1918496
20211, Black,730.194695
20212, Black,328.5418366
20213, Black,764.8537662
20214, Black,498.6982576
20221, Black,625.301959
20222, Black,9.155226339
20201, White,5.356134706
20202, White,129.8449748
20203, White,98.36883519
20204, White,244.8720968
20211, White,311.1749097
20212, White,129.3494734
20213, White,453.8557315
20214, White,471.1510916
20221, White,434.3188173
20222, White,9.980814892
