"End_Date","Black","White"
03/21/2020,5.3,1.6
03/28/2020,35.5,7.4
04/04/2020,115.4,21.7
04/11/2020,171.3,37.8
04/18/2020,166.2,44.3
04/25/2020,137.4,41.9
05/02/2020,108.4,37.4
05/09/2020,93.2,32.0
05/16/2020,72.8,26.7
05/23/2020,54.5,20.7
05/30/2020,48.8,16.9
06/06/2020,38.5,13.7
06/13/2020,31.7,10.6
06/20/2020,27.6,9.6
06/27/2020,26.8,9.0
07/04/2020,29.6,10.3
07/11/2020,37.6,12.4
07/18/2020,46.6,15.4
07/25/2020,55.4,18.8
08/01/2020,58.0,19.3
08/08/2020,54.3,18.8
08/15/2020,48.5,18.4
08/22/2020,44.0,16.5
08/29/2020,38.4,15.8
09/05/2020,33.0,14.1
09/12/2020,28.9,13.4
09/19/2020,25.0,12.9
09/26/2020,23.1,13.3
10/03/2020,21.9,14.0
10/10/2020,23.0,16.4
10/17/2020,23.1,18.4
10/24/2020,23.7,21.6
10/31/2020,25.9,25.4
11/07/2020,33.3,31.8
11/14/2020,38.6,38.8
11/21/2020,43.6,49.6
11/28/2020,55.8,57.3
12/05/2020,67.9,68.0
12/12/2020,76.3,75.5
12/19/2020,86.7,77.4
12/26/2020,90.9,78.6
01/02/2021,103.3,80.7
01/09/2021,107.7,82.8
01/16/2021,108.8,81.8
01/23/2021,106.3,74.1
01/30/2021,96.5,62.7
02/06/2021,84.1,51.4
02/13/2021,68.4,39.7
02/20/2021,58.8,31.1
02/27/2021,48.8,25.0
03/06/2021,36.7,19.7
03/13/2021,33.2,16.9
03/20/2021,28.9,14.0
03/27/2021,26.2,13.0
04/03/2021,28.0,12.4
04/10/2021,30.5,12.4
04/17/2021,29.8,13.4
04/24/2021,29.7,14.1
05/01/2021,29.4,12.5
05/08/2021,29.8,12.0
05/15/2021,27.3,10.9
05/22/2021,21.6,9.7
05/29/2021,17.7,8.3
06/05/2021,14.7,7.2
06/12/2021,12.1,6.4
06/19/2021,10.0,5.6
06/26/2021,8.9,5.4
07/03/2021,7.6,5.0
07/10/2021,7.8,5.4
07/17/2021,10.6,6.3
07/24/2021,15.3,9.0
07/31/2021,21.6,13.2
08/07/2021,37.3,20.6
08/14/2021,52.9,29.8
08/21/2021,67.3,39.0
08/28/2021,75.8,45.5
09/04/2021,80.9,51.1
09/11/2021,74.8,50.8
09/18/2021,73.5,52.0
09/25/2021,62.5,49.6
10/02/2021,55.6,44.5
10/09/2021,46.5,39.2
10/16/2021,37.7,35.2
10/23/2021,33.6,32.5
10/30/2021,27.2,29.0
11/06/2021,23.4,26.7
11/13/2021,21.4,26.4
11/20/2021,21.0,27.4
11/27/2021,22.8,29.9
12/04/2021,25.2,33.8
12/11/2021,28.5,37.3
12/18/2021,33.1,39.3
12/25/2021,36.3,39.2
01/01/2022,50.5,42.1
01/08/2022,78.6,51.9
01/15/2022,105.6,64.3
01/22/2022,114.4,71.5
01/29/2022,106.4,71.5
02/05/2022,83.2,65.0
02/12/2022,65.1,53.6
02/19/2022,46.8,41.7
02/26/2022,31.5,29.9
03/05/2022,22.5,22.3
03/12/2022,16.2,16.0
03/19/2022,11.4,11.5
03/26/2022,9.9,9.0
04/02/2022,6.7,6.9
04/09/2022,4.9,5.6
04/16/2022,4.8,5.0
04/23/2022,5.0,4.7
04/30/2022,4.4,5.1
05/07/2022,2.9,4.9
05/14/2022,3.2,4.5
05/21/2022,2.5,3.8
