"end_date","Hispanic","Black","Asian","White"
03/21/2020,1.7,3.4,2.3,1.0
03/28/2020,2.2,4.8,1.9,1.0
04/04/2020,3.0,5.3,2.0,1.0
04/11/2020,2.9,4.5,1.7,1.0
04/18/2020,2.3,3.8,1.5,1.0
04/25/2020,2.2,3.3,1.4,1.0
05/02/2020,2.0,2.9,1.3,1.0
05/09/2020,2.0,2.9,1.1,1.0
05/16/2020,1.9,2.7,1.1,1.0
05/23/2020,2.0,2.6,1.1,1.0
05/30/2020,2.4,2.9,1.0,1.0
06/06/2020,2.4,2.8,1.0,1.0
06/13/2020,3.2,3.0,1.1,1.0
06/20/2020,3.2,2.9,1.4,1.0
06/27/2020,4.2,3.0,1.0,1.0
07/04/2020,4.7,2.9,1.0,1.0
07/11/2020,5.6,3.0,1.0,1.0
07/18/2020,5.9,3.0,0.9,1.0
07/25/2020,4.9,2.9,0.9,1.0
08/01/2020,4.8,3.0,0.8,1.0
08/08/2020,4.4,2.9,0.9,1.0
08/15/2020,3.8,2.6,0.9,1.0
08/22/2020,3.5,2.7,0.8,1.0
08/29/2020,2.9,2.4,0.8,1.0
09/05/2020,2.6,2.3,0.8,1.0
09/12/2020,2.4,2.2,0.8,1.0
09/19/2020,2.2,1.9,0.9,1.0
09/26/2020,2.2,1.7,0.7,1.0
10/03/2020,1.6,1.6,0.5,1.0
10/10/2020,1.5,1.4,0.6,1.0
10/17/2020,1.3,1.3,0.5,1.0
10/24/2020,1.3,1.1,0.4,1.0
10/31/2020,1.4,1.0,0.4,1.0
11/07/2020,1.4,1.1,0.4,1.0
11/14/2020,1.3,1.0,0.4,1.0
11/21/2020,1.3,0.9,0.4,1.0
11/28/2020,1.3,1.0,0.4,1.0
12/05/2020,1.3,1.0,0.5,1.0
12/12/2020,1.4,1.0,0.6,1.0
12/19/2020,1.6,1.1,0.7,1.0
12/26/2020,1.8,1.2,0.9,1.0
01/02/2021,2.0,1.3,1.0,1.0
01/09/2021,2.1,1.3,1.1,1.0
01/16/2021,2.1,1.3,1.1,1.0
01/23/2021,2.3,1.4,1.1,1.0
01/30/2021,2.3,1.5,1.1,1.0
02/06/2021,2.5,1.6,1.1,1.0
02/13/2021,2.6,1.7,1.2,1.0
02/20/2021,2.7,1.9,1.2,1.0
02/27/2021,2.5,2.0,1.2,1.0
03/06/2021,2.5,1.9,1.1,1.0
03/13/2021,2.2,2.0,1.1,1.0
03/20/2021,2.5,2.1,1.2,1.0
03/27/2021,2.3,2.0,1.2,1.0
04/03/2021,2.0,2.3,1.0,1.0
04/10/2021,2.0,2.5,1.0,1.0
04/17/2021,1.8,2.2,0.9,1.0
04/24/2021,1.6,2.1,0.9,1.0
05/01/2021,1.7,2.3,0.7,1.0
05/08/2021,1.5,2.5,0.7,1.0
05/15/2021,1.6,2.5,0.7,1.0
05/22/2021,1.8,2.2,0.8,1.0
05/29/2021,1.8,2.1,0.7,1.0
06/05/2021,1.6,2.0,0.5,1.0
06/12/2021,1.6,1.9,0.6,1.0
06/19/2021,1.7,1.8,0.5,1.0
06/26/2021,1.5,1.6,0.3,1.0
07/03/2021,1.4,1.5,0.7,1.0
07/10/2021,1.5,1.4,0.5,1.0
07/17/2021,1.6,1.7,0.4,1.0
07/24/2021,1.2,1.7,0.5,1.0
07/31/2021,1.5,1.6,0.4,1.0
08/07/2021,1.4,1.8,0.4,1.0
08/14/2021,1.5,1.8,0.3,1.0
08/21/2021,1.4,1.7,0.4,1.0
08/28/2021,1.5,1.7,0.4,1.0
09/04/2021,1.3,1.6,0.3,1.0
09/11/2021,1.4,1.5,0.4,1.0
09/18/2021,1.2,1.4,0.3,1.0
09/25/2021,1.2,1.3,0.3,1.0
10/02/2021,1.1,1.2,0.3,1.0
10/09/2021,1.1,1.2,0.3,1.0
10/16/2021,1.1,1.1,0.3,1.0
10/23/2021,1.0,1.0,0.3,1.0
10/30/2021,1.0,0.9,0.4,1.0
11/06/2021,1.1,0.9,0.3,1.0
11/13/2021,1.1,0.8,0.3,1.0
11/20/2021,1.0,0.8,0.3,1.0
11/27/2021,1.0,0.8,0.3,1.0
12/04/2021,0.9,0.7,0.3,1.0
12/11/2021,0.9,0.8,0.3,1.0
12/18/2021,0.9,0.8,0.3,1.0
12/25/2021,0.9,0.9,0.3,1.0
01/01/2022,1.0,1.2,0.4,1.0
01/08/2022,1.1,1.5,0.5,1.0
01/15/2022,1.3,1.7,0.5,1.0
01/22/2022,1.4,1.6,0.6,1.0
01/29/2022,1.4,1.5,0.6,1.0
02/05/2022,1.4,1.3,0.6,1.0
02/12/2022,1.3,1.2,0.5,1.0
02/19/2022,1.3,1.1,0.5,1.0
02/26/2022,1.2,1.1,0.5,1.0
03/05/2022,1.1,1.0,0.4,1.0
03/12/2022,1.2,1.0,0.4,1.0
03/19/2022,1.1,1.0,0.4,1.0
03/26/2022,1.2,1.1,0.5,1.0
04/02/2022,1.2,1.1,0.3,1.0
04/09/2022,1.2,0.9,0.3,1.0
04/16/2022,1.1,1.0,0.4,1.0
04/23/2022,1.0,1.1,0.5,1.0
04/30/2022,1.0,0.9,0.6,1.0
05/07/2022,0.8,0.7,0.4,1.0
05/14/2022,0.8,0.9,0.6,1.0
05/21/2022,0.9,0.9,0.7,1.0
05/28/2022,1.1,0.9,0.6,1.0
06/04/2022,0.8,0.8,0.6,1.0
06/11/2022,1.0,1.0,0.8,1.0
06/18/2022,1.2,0.9,0.6,1.0
06/25/2022,1.2,1.0,0.6,1.0
07/02/2022,1.2,0.7,0.8,1.0
07/09/2022,1.4,1.0,0.8,1.0
07/16/2022,1.2,1.1,0.8,1.0
07/23/2022,0.9,0.8,0.7,1.0
07/30/2022,0.9,0.8,0.7,1.0
