"end_date","Hispanic","Black","Asian","White"
10/02/2021,1.1,1.2,0.3,1.0
10/09/2021,1.1,1.2,0.3,1.0
10/16/2021,1.1,1.1,0.3,1.0
10/23/2021,1.0,1.0,0.3,1.0
10/30/2021,1.0,0.9,0.4,1.0
11/06/2021,1.1,0.9,0.3,1.0
11/13/2021,1.1,0.8,0.3,1.0
11/20/2021,1.0,0.8,0.3,1.0
11/27/2021,1.0,0.8,0.3,1.0
12/04/2021,0.9,0.7,0.3,1.0
12/11/2021,0.9,0.8,0.3,1.0
12/18/2021,0.9,0.8,0.3,1.0
12/25/2021,0.9,0.9,0.3,1.0
01/01/2022,1.0,1.2,0.4,1.0
01/08/2022,1.1,1.5,0.5,1.0
01/15/2022,1.3,1.7,0.5,1.0
01/22/2022,1.4,1.6,0.6,1.0
01/29/2022,1.3,1.5,0.6,1.0
02/05/2022,1.3,1.3,0.6,1.0
02/12/2022,1.3,1.2,0.5,1.0
02/19/2022,1.2,1.1,0.5,1.0
02/26/2022,1.2,1.1,0.5,1.0
03/05/2022,1.1,1.0,0.4,1.0
03/12/2022,1.1,1.0,0.4,1.0
03/19/2022,1.0,1.0,0.4,1.0
03/26/2022,1.1,1.1,0.5,1.0
04/02/2022,1.0,1.0,0.3,1.0
04/09/2022,1.0,0.9,0.3,1.0
04/16/2022,0.9,1.0,0.4,1.0
04/23/2022,0.8,1.1,0.5,1.0
04/30/2022,0.7,0.9,0.6,1.0
05/07/2022,0.6,0.7,0.4,1.0
05/14/2022,0.6,0.9,0.6,1.0
05/21/2022,0.6,0.9,0.7,1.0
05/28/2022,0.7,0.9,0.6,1.0
06/04/2022,0.6,0.8,0.6,1.0
06/11/2022,0.7,1.0,0.7,1.0
06/18/2022,0.9,0.9,0.6,1.0
06/25/2022,1.0,1.0,0.6,1.0
07/02/2022,0.9,0.8,0.8,1.0
07/09/2022,1.0,1.1,0.8,1.0
07/16/2022,0.9,1.1,0.8,1.0
07/23/2022,0.8,1.0,0.7,1.0
07/30/2022,1.0,1.1,0.7,1.0
08/06/2022,0.9,1.1,0.7,1.0
08/13/2022,0.9,1.0,0.6,1.0
08/20/2022,0.9,0.9,0.6,1.0
08/27/2022,0.8,0.8,0.7,1.0
09/03/2022,0.9,0.6,0.6,1.0
